bg Bulgarian  Български  
cs Czech      Čeština        
da Danish     Dansk         
de German     Deutsch       
el Greek      Ελληνικά       
en English    English      
es Spanish    Español      
et Estonian   Eesti       
fi Finnish    Suomi        
fr French     Français      
fy Frisian    Frysk        
ga Irish      Gaeilge        
hr Croatian   Hrvatski    
hu Hungarian  Magyar     
is Icelandic  Íslenska   
it Italian    Italiano     
lt Lithuanian Lietuvių  
lv Latvian    Latviešu     
mt Maltese    Malti        
nl Dutch      Nederlands     
no Norwegian  Norsk      
pl Polish     Polski        
pt Portuguese Português 
ro Romanian   Română      
sk Slovak     Slovenčina    
sl Slovenian  Slovenščina
sv Swedish    Svenska      
  
